group_size	group_value	matched_size	metadata_column	occurrence_fraction
1	white carrot	1	ontology_term	1.0
1	tomato paste	1	ontology_term	1.0
1	sugar plum tomatoes	1	ontology_term	1.0
1	purple basil	1	ontology_term	1.0
1	petit sirah, red	1	ontology_term	1.0
1	lemon grass	1	ontology_term	1.0
1	lemon balm	1	ontology_term	1.0
1	green tomato	1	ontology_term	1.0
1	greek basil	1	ontology_term	1.0
1	grape tomato	1	ontology_term	1.0
1	borage flower	1	ontology_term	1.0
5	cabernet sauvignon, red	3	ontology_term	0.6
4	sage	2	ontology_term	0.5
4	artichoke	2	ontology_term	0.5
2	port, red	1	ontology_term	0.5
2	green pepper	1	ontology_term	0.5
2	garlic powder	1	ontology_term	0.5
2	chocolate mint	1	ontology_term	0.5
2	carrot greens	1	ontology_term	0.5
3	sunflower seed	1	ontology_term	0.3333333333333333
3	sunflower	1	ontology_term	0.3333333333333333
3	achene	1	ontology_term	0.3333333333333333
17	red wine	5	ontology_term	0.29411764705882354
117	apple_cider	30	ontology_term	0.2564102564102564
8	basil	2	ontology_term	0.25
4	blackberry	1	ontology_term	0.25
23	grape_fermented	5	ontology_term	0.21739130434782608
143	apple	30	ontology_term	0.2097902097902098
5	mint	1	ontology_term	0.2
155	pome	30	ontology_term	0.1935483870967742
26	carrot	5	ontology_term	0.19230769230769232
118	cherry tomato	22	ontology_term	0.1864406779661017
11	drupe_aggregate	2	ontology_term	0.18181818181818182
148	tomato	26	ontology_term	0.17567567567567569
6	sweet potato	1	ontology_term	0.16666666666666666
6	red raspberry	1	ontology_term	0.16666666666666666
13	blueberry	2	ontology_term	0.15384615384615385
7	raspberry	1	ontology_term	0.14285714285714285
46	grape	6	ontology_term	0.13043478260869565
8	cherry	1	ontology_term	0.125
9	rosemary	1	ontology_term	0.1111111111111111
10	avocado	1	ontology_term	0.1
81	herb/spice	8	ontology_term	0.09876543209876543
861	fleshy fruit	75	ontology_term	0.08710801393728224
472	berry	41	ontology_term	0.08686440677966102
37	flower	3	ontology_term	0.08108108108108109
15	potato	1	ontology_term	0.06666666666666667
1273	fruit	81	ontology_term	0.0636292223095051
2121	plant	104	ontology_term	0.04903347477604903
180	vegetable	8	ontology_term	0.044444444444444446
597	vegetable/herb	20	ontology_term	0.03350083752093802
160	coffee	5	ontology_term	0.03125
37	pepper	1	ontology_term	0.02702702702702703
70	drupe	1	ontology_term	0.014285714285714285
231	grain/grass	2	ontology_term	0.008658008658008658
523	complex	2	ontology_term	0.0038240917782026767
9	quinoa	0	ontology_term	0.0
9	pecorino cheese	0	ontology_term	0.0
